trade_date,close
20260224,4707.544
20260213,4660.4056
20260212,4719.578
20260211,4713.8185
20260210,4724.2956
20260209,4719.0559
20260206,4643.5959
20260205,4670.4188
20260204,4698.6832
20260203,4660.1074
20260202,4605.9799
20260130,4706.3401
20260129,4753.8697
20260128,4717.9914
20260127,4705.6918
20260126,4706.964
20260123,4702.4966
20260122,4723.7091
20260121,4723.0692
20260120,4718.8782
20260119,4734.4556
20260116,4731.8728
20260115,4751.4293
20260114,4741.9306
20260113,4761.0324
20260112,4789.9155
20260109,4758.9221
20260108,4737.6536
20260107,4776.6658
20260106,4790.6938
20260105,4717.7457
20251231,4629.9395
20251230,4651.2818
20251229,4639.3721
20251226,4657.24
20251225,4642.5357
20251224,4634.0586
20251223,4620.7341
20251222,4611.6235
20251219,4568.1781
20251218,4552.7926
20251217,4579.875
20251216,4497.5545
20251215,4552.0596
20251212,4580.95
20251211,4552.1848
20251210,4591.8273
20251209,4598.2232
20251208,4621.7545
20251205,4584.5368
20251204,4546.5664
20251203,4531.0486
20251202,4554.3347
20251201,4576.4856
20251128,4526.6616
20251127,4515.4027
20251126,4517.6255
20251125,4490.4047
20251124,4448.0478
20251121,4453.6076
20251120,4564.9483
20251119,4588.2922
20251118,4568.1928
20251117,4598.0525
20251114,4628.1398
20251113,4702.0738
20251112,4645.9079
20251111,4652.1655
20251110,4695.0507
20251107,4678.7944
20251106,4693.4032
20251105,4627.257
20251104,4618.699
20251103,4653.4028
20251031,4640.6676
20251030,4709.911
20251029,4747.8378
20251028,4691.973
20251027,4716.0186
20251024,4660.6835
20251023,4606.3447
20251022,4592.57
20251021,4607.8715
20251020,4538.2201
20251017,4514.2345
20251016,4618.4218
20251015,4606.2879
20251014,4539.0644
20251013,4593.9785
20251010,4616.8341
20251009,4709.482
20250930,4640.6935
20250929,4620.0528
20250926,4550.0487
20250925,4593.4875
20250924,4566.0708
20250923,4519.7781
20250922,4522.608
20250919,4501.9195
20250918,4498.109
20260227,4710.6469
20260226,4726.8739
20260225,4735.8858
