trade_date,cb_amount,cb_active_count,corr_1000,corr_2000,avg_price,avg_premium,price_percentile,delta_median,below_par_ratio,median_price
20251127,549.45,396,,,162.52,27.74,50.0,,0.0,130.68
20251128,651.79,394,,,163.64,27.65,50.0,,0.0,131.08
20251201,553.29,395,,,164.52,25.37,66.7,,0.0,131.49
20251202,468.56,395,,,162.71,25.47,25.0,,0.0,130.59
20251203,541.1,395,,,162.28,26.67,0.0,,0.0,130.48
20251204,525.56,395,,,161.72,24.95,0.0,,0.0,130.3
20251205,601.53,395,,,164.39,24.39,71.4,,0.0,131.66
20251208,652.92,395,,,166.42,26.13,87.5,,0.0,132.36
20251209,592.77,392,,,164.29,25.12,55.6,,0.0,131.25
20251210,544.33,390,,,165.5,25.39,80.0,,0.0,132.04
20251211,568.14,389,,,163.52,26.23,36.4,,0.0,130.98
20251212,673.67,389,,,167.6,26.51,91.7,,0.0,130.94
20251215,593.94,388,,,166.14,26.87,76.9,,0.0,130.94
20251216,578.62,387,,,160.38,27.91,0.0,,0.3,129.95
20251217,632.44,385,,,165.68,28.88,73.3,,0.3,130.8
20251218,657.13,384,,,166.0,28.16,75.0,,0.3,131.3
20251219,718.44,382,,,167.2,30.45,88.2,,0.0,132.14
20251222,704.67,382,,,169.11,28.03,94.4,,0.0,133.09
20251223,713.32,379,,,168.46,30.58,89.5,,0.0,132.47
20251224,758.99,379,0.4225,0.3798,171.93,27.22,95.0,,0.0,133.31
20251225,885.25,380,0.4488,0.4208,174.19,28.22,95.2,0.4205,0.0,134.24
20251226,940.52,380,0.4165,0.3692,173.5,29.24,90.9,0.412,0.0,134.01
20251229,780.9,380,0.4908,0.4247,173.22,28.62,87.0,0.4377,0.0,133.03
20251230,830.53,380,0.43,0.3989,174.01,30.06,91.7,0.4266,0.0,133.45
20251231,818.9,381,0.5537,0.5156,174.5,29.23,96.0,0.429,0.0,133.74
20260105,850.75,381,0.5134,0.4871,175.27,31.7,96.2,0.4301,0.0,135.44
20260106,959.68,381,0.5141,0.4614,173.41,32.07,77.8,0.4482,0.0,137.42
20260107,928.06,380,0.4893,0.4293,181.82,33.99,96.4,0.4547,0.0,137.17
20260108,979.67,380,0.4613,0.4021,173.76,32.79,79.3,0.4376,0.0,137.44
20260109,1018.66,380,0.4566,0.3942,186.89,32.58,96.7,0.4439,0.0,138.32
20260112,1084.74,380,0.4854,0.4437,180.55,33.89,90.3,0.4428,0.0,139.92
20260113,1038.44,379,0.5442,0.5141,180.14,32.95,87.5,0.4933,0.0,137.95
20260114,1114.29,379,0.4905,0.5047,179.67,31.96,84.8,0.4879,0.0,138.2
20260115,953.71,379,0.4915,0.5624,181.9,35.43,94.1,0.4749,0.0,138.43
20260116,1034.58,380,0.4354,0.5364,191.9,35.1,97.1,0.4953,0.0,139.07
20260119,869.68,378,0.4254,0.4317,185.19,33.53,91.7,0.4764,0.0,139.73
20260120,883.43,377,0.4011,0.3888,182.73,30.98,89.2,0.4945,0.0,138.99
20260121,912.89,377,0.4163,0.3994,187.0,33.89,94.7,0.4927,0.0,140.55
20260122,957.74,377,0.4212,0.4125,189.38,32.85,94.9,0.4892,0.0,142.24
20260123,1040.98,377,0.435,0.4252,186.58,33.83,87.5,0.502,0.0,143.19
20260126,962.16,374,0.481,0.4527,181.11,33.03,75.6,0.4966,0.0,141.02
20260127,908.73,374,0.4938,0.4768,185.83,35.82,85.7,0.4798,0.0,140.96
20260128,836.81,375,0.4926,0.5181,188.33,34.79,93.0,0.4804,0.0,142.73
20260129,870.04,374,0.4733,0.4919,186.92,36.36,88.6,0.4724,0.0,141.48
20260130,932.63,375,0.3989,0.4618,181.64,33.17,71.1,0.4919,0.0,140.01
20260202,850.83,376,0.4607,0.5103,180.79,34.43,67.4,0.5211,0.0,136.72
20260203,975.48,373,0.5181,0.5702,188.64,35.05,93.6,0.5339,0.0,140.36
20260204,873.32,373,0.5138,0.56,183.8,30.75,77.1,0.5194,0.0,140.11
20260205,740.57,374,0.5516,0.577,185.23,32.83,79.6,0.5357,0.0,139.52
20260206,887.48,373,0.4696,0.5299,188.42,36.07,92.0,0.5386,0.0,140.98
20260209,857.98,373,0.3971,0.4656,188.84,34.5,94.1,0.5397,0.0,142.01
20260210,765.36,371,0.375,0.4608,187.44,33.93,86.5,0.5515,0.0,142.0
20260211,740.98,370,0.3644,0.447,187.12,31.71,84.9,0.5277,0.0,142.41
20260212,833.88,371,0.3934,0.408,188.4,33.64,88.9,0.5424,0.0,143.29
20260213,758.73,370,0.4299,0.4323,191.24,33.5,96.4,0.5178,0.0,142.06
20260224,649.37,370,0.4574,0.5142,181.53,,58.9,0.5091,0.0,143.57
20260225,0.0,0,0.1993,0.2332,,,,,,
