date,pc1_ratio,pc2_ratio,combined_ratio,pc1_score,pc2_score,pc1_cumsum,env_type,momentum_signal,pca_friendly
20251010,0.2989,0.1225,0.4214,3.7766,14.002,0.0,温和趋势,动量偏空,43.6
20251013,0.2938,0.1217,0.4155,-4.1506,-1.1165,-0.0,温和趋势,动量偏空,41.9
20251014,0.2935,0.1194,0.4129,-3.1854,-0.2952,0.0,温和趋势,动量偏空,41.7
20251015,0.2968,0.1176,0.4145,-5.4583,-0.2325,-0.0,温和趋势,动量偏空,42.7
20251016,0.2955,0.1202,0.4156,0.5036,2.8662,-0.0,温和趋势,动量偏空,42.3
20251017,0.2965,0.121,0.4174,2.7287,-2.6207,-0.0,温和趋势,动量偏空,42.7
20251020,0.2942,0.121,0.4152,-4.4164,3.3177,0.0,温和趋势,动量偏空,42.0
20251021,0.2923,0.1192,0.4115,1.6193,0.5759,-0.0,温和趋势,动量偏空,41.2
20251022,0.2819,0.1232,0.4051,2.5952,-0.8196,-0.0,温和趋势,动量偏多,37.9
20251023,0.2815,0.1267,0.4083,4.6031,-4.1938,0.0,温和趋势,动量偏多,38.0
20251024,0.2872,0.1236,0.4107,5.9382,-0.4191,-0.0,温和趋势,动量偏多,39.7
20251027,0.2834,0.1244,0.4078,0.6135,0.4414,-0.0,温和趋势,动量偏多,38.5
20251028,0.2855,0.1203,0.4058,4.5719,-1.8819,0.0,温和趋势,动量偏多,39.0
20251029,0.2424,0.1236,0.3661,-2.7669,-1.2988,0.0,温和趋势,动量偏多,26.4
20251030,0.2476,0.1203,0.3679,5.4482,0.3141,0.0,温和趋势,动量偏多,27.9
20251031,0.2525,0.1198,0.3723,-4.4954,1.1951,-0.0,温和趋势,动量偏多,29.3
20251103,0.2367,0.1191,0.3559,-3.0465,-0.3248,0.0,温和趋势,中性,24.8
20251104,0.2354,0.1178,0.3531,0.2488,0.509,0.0,温和趋势,动量偏空,24.4
20251105,0.2414,0.1161,0.3575,-5.0105,-2.1726,-0.0,温和趋势,动量偏空,26.1
20251106,0.2397,0.1159,0.3557,0.2372,0.8832,-0.0,温和趋势,动量偏空,25.6
20251107,0.2438,0.1161,0.3599,3.3284,1.6502,0.0,温和趋势,动量偏空,26.8
20251110,0.2446,0.1151,0.3596,-1.874,-0.3567,-0.0,温和趋势,动量偏空,27.0
20251111,0.2456,0.1152,0.3607,3.1839,0.7897,-0.0,温和趋势,中性,27.3
20251112,0.2428,0.1166,0.3594,-4.1899,2.5553,-0.0,温和趋势,中性,26.5
20251113,0.2427,0.1171,0.3598,3.6798,-1.0957,-0.0,温和趋势,动量偏多,26.5
20251114,0.2488,0.1154,0.3642,2.6549,3.2663,0.0,温和趋势,动量偏多,28.2
20251117,0.2443,0.1189,0.3632,-2.5711,-4.2867,0.0,温和趋势,中性,26.9
20251118,0.244,0.119,0.363,1.5352,-2.4469,-0.0,温和趋势,中性,26.9
20251119,0.2501,0.1175,0.3676,-5.4617,-0.1841,0.0,温和趋势,中性,28.6
20251120,0.2508,0.1173,0.368,2.2746,0.3287,0.0,温和趋势,中性,28.8
20251121,0.259,0.1177,0.3767,-4.4409,-0.9107,-0.0,温和趋势,动量偏空,31.1
20251124,0.2619,0.1155,0.3774,-3.0818,0.0027,-0.0,温和趋势,动量偏空,32.0
20251125,0.263,0.1142,0.3772,4.8778,-0.0298,-0.0,温和趋势,动量偏空,32.3
20251126,0.255,0.1157,0.3706,-0.1984,1.0701,0.0,温和趋势,中性,30.0
20251127,0.2531,0.1148,0.3678,1.4061,-0.1698,0.0,温和趋势,中性,29.5
20251128,0.2505,0.1143,0.3648,1.0065,1.4163,0.0,温和趋势,动量偏多,28.7
20251201,0.2518,0.1134,0.3652,4.1207,-2.0802,-0.0,温和趋势,动量偏多,29.1
20251202,0.2527,0.1129,0.3656,3.4518,1.5167,0.0,温和趋势,动量偏多,29.3
20251203,0.2547,0.1132,0.368,1.1135,0.4769,-0.0,温和趋势,动量偏多,29.9
20251204,0.2548,0.1136,0.3684,-1.7836,1.3041,-0.0,温和趋势,动量偏多,29.9
20251205,0.2521,0.1127,0.3648,0.6852,-0.5267,-0.0,温和趋势,动量偏多,29.2
20251208,0.2479,0.1176,0.3655,-3.1664,4.9211,-0.0,温和趋势,中性,28.0
20251209,0.2409,0.1185,0.3594,-0.0787,-1.6183,0.0,温和趋势,动量偏空,26.0
20251210,0.2503,0.1143,0.3647,-7.4605,-1.7959,0.0,温和趋势,动量偏空,28.7
20251211,0.2459,0.1171,0.363,0.6649,3.7161,-0.0,温和趋势,动量偏空,27.4
20251212,0.2432,0.1157,0.3589,-1.196,0.6509,0.0,温和趋势,动量偏空,26.6
20251215,0.2396,0.1153,0.355,-0.4102,3.7035,0.0,温和趋势,动量偏空,25.6
20251216,0.2373,0.1216,0.3589,3.5003,-6.7802,-0.0,温和趋势,动量偏空,24.9
20251217,0.2248,0.1251,0.35,-0.3023,-5.9121,0.0,温和趋势,动量偏多,21.4
20251218,0.2245,0.1235,0.3481,3.1597,0.1417,0.0,温和趋势,动量偏多,21.3
20251219,0.224,0.1185,0.3425,4.5185,-3.0636,-0.0,温和趋势,动量偏多,21.1
20251222,0.2087,0.1176,0.3263,1.0085,2.7856,0.0,温和趋势,动量偏多,16.8
20251223,0.2119,0.1161,0.328,6.2533,2.3421,0.0,温和趋势,动量偏多,17.7
20251224,0.2108,0.1123,0.3231,1.9175,-0.8227,0.0,温和趋势,动量偏多,17.4
20251225,0.2134,0.1096,0.3231,6.8074,-0.0632,0.0,温和趋势,动量偏多,18.1
20251226,0.2083,0.1088,0.3171,1.1627,-1.374,0.0,温和趋势,动量偏多,16.7
20251229,0.2104,0.1088,0.3193,6.5305,0.1257,0.0,温和趋势,动量偏多,17.3
20251230,0.2083,0.1086,0.3169,-4.0182,0.5661,0.0,温和趋势,动量偏多,16.7
20251231,0.2082,0.1076,0.3158,4.4415,-2.3614,0.0,温和趋势,动量偏多,16.6
20260105,0.2033,0.1068,0.3101,-2.4099,-0.948,-0.0,温和趋势,动量偏多,15.2
20260106,0.2028,0.0985,0.3013,-0.5403,7.8021,0.0,温和趋势,动量偏多,15.1
20260107,0.221,0.0955,0.3165,10.9398,2.9919,-0.0,温和趋势,动量偏多,20.3
20260108,0.2229,0.0936,0.3165,8.2284,-3.4594,0.0,温和趋势,动量偏多,20.8
20260109,0.2266,0.0936,0.3203,-9.3286,-3.7724,0.0,温和趋势,动量偏多,21.9
20260112,0.2253,0.0925,0.3178,1.1969,1.5472,0.0,温和趋势,动量偏多,21.5
20260113,0.2259,0.0895,0.3154,3.9645,2.7392,0.0,温和趋势,动量偏多,21.7
20260114,0.2237,0.0897,0.3134,-3.7572,0.6047,-0.0,温和趋势,中性,21.1
20260115,0.227,0.0908,0.3178,4.2769,3.1693,0.0,温和趋势,动量偏空,22.0
20260116,0.2248,0.0888,0.3136,-3.2385,0.8064,0.0,温和趋势,中性,21.4
20260119,0.2311,0.0885,0.3196,-6.3083,-3.9355,0.0,温和趋势,动量偏空,23.2
20260120,0.228,0.0884,0.3164,-2.6891,0.8369,0.0,温和趋势,动量偏空,22.3
20260121,0.228,0.0876,0.3156,-2.3922,1.6749,0.0,温和趋势,动量偏空,22.3
20260122,0.2275,0.0879,0.3154,1.6522,1.665,-0.0,温和趋势,动量偏空,22.1
20260123,0.2307,0.0889,0.3196,6.2646,-2.7413,-0.0,温和趋势,动量偏空,23.1
20260126,0.2324,0.0886,0.321,6.1989,0.4729,-0.0,温和趋势,动量偏多,23.6
20260127,0.2269,0.0884,0.3153,2.6317,1.4935,0.0,温和趋势,动量偏多,22.0
20260128,0.227,0.09,0.317,-4.1849,2.9836,0.0,温和趋势,动量偏多,22.0
20260129,0.2318,0.0886,0.3204,5.7017,3.2944,0.0,温和趋势,动量偏多,23.4
20260130,0.2335,0.0863,0.3198,7.2155,2.9903,0.0,温和趋势,动量偏多,23.9
20260202,0.2527,0.0877,0.3404,-10.4914,-5.7914,-0.0,温和趋势,中性,29.3
20260203,0.2834,0.0894,0.3728,-13.8398,5.8878,0.0,温和趋势,动量偏空,38.1
20260204,0.2787,0.0883,0.367,3.3533,-2.4951,0.0,温和趋势,动量偏空,36.8
20260205,0.2842,0.0866,0.3708,6.0977,0.1436,0.0,温和趋势,动量偏空,38.3
20260206,0.291,0.0837,0.3747,-7.1391,0.619,-0.0,温和趋势,动量偏空,40.3
20260209,0.2905,0.0839,0.3744,-1.9646,-1.5831,-0.0,温和趋势,动量偏空,40.2
20260210,0.2901,0.0847,0.3748,0.1608,-0.3794,0.0,温和趋势,中性,40.0
20260211,0.2894,0.0851,0.3744,0.5057,-1.2546,0.0,温和趋势,中性,39.8
20260212,0.2934,0.085,0.3785,3.6815,0.4866,0.0,温和趋势,动量偏空,41.0
20260213,0.2896,0.0841,0.3737,-2.0406,-0.4561,-0.0,温和趋势,中性,39.9
20260224,0.2935,0.0831,0.3767,-4.9104,2.3917,-0.0,温和趋势,动量偏空,41.0
20260225,0.2951,0.0935,0.3886,10.0862,-7.6859,-0.0,温和趋势,动量偏多,41.5
20260226,0.292,0.0969,0.389,1.9679,4.6661,-0.0,温和趋势,动量偏多,40.6
20260227,0.293,0.0952,0.3882,-2.8612,0.3703,0.0,温和趋势,中性,40.8
